Key,Chord_Progression,ChordName,Voicing,Emotion,Scale,File_Path
Db,V7-#IVm7b5-IVm7-IIIm7,Ab7-Gm7b5-F#m7-Fm7,Drop 2,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/C#:Db.mid
C,V7-#IVm7b5-IVm7-IIIm7,G7-F#m7b5-Fm7-Em7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/C:B#.mid
Eb,V7-#IVm7b5-IVm7-IIIm7,Bb7-Am7b5-Abm7-Gm7,Drop 2,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/D#:Eb.mid
D,V7-#IVm7b5-IVm7-IIIm7,A7-Abm7b5-Gm7-F#m7,Drop 2,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/D.mid
E,V7-#IVm7b5-IVm7-IIIm7,B7-Bbm7b5-Am7-Abm7,Drop 2,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/E:Fb.mid
F#,V7-#IVm7b5-IVm7-IIIm7,Db7-Cm7b5-Bm7-Bbm7,Drop 2,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/F#:Gb.mid
F,V7-#IVm7b5-IVm7-IIIm7,C7-Bm7b5-Bbm7-Am7,Drop 2,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/F:E#.mid
Ab,V7-#IVm7b5-IVm7-IIIm7,Eb7-Dm7b5-Dbm7-Cm7,Drop 2,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/G#:Ab.mid
G,V7-#IVm7b5-IVm7-IIIm7,D7-Dbm7b5-Cm7-Bm7,Drop 2,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/G.mid
Bb,V7-#IVm7b5-IVm7-IIIm7,F7-Em7b5-Ebm7-Dm7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/A#:Bb.mid
A,V7-#IVm7b5-IVm7-IIIm7,E7-Ebm7b5-Dm7-Dbm7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/A.mid
B,V7-#IVm7b5-IVm7-IIIm7,F#7-Fm7b5-Em7-Ebm7,Drop 2+4,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/B:Cb.mid
Db,V7-#IVm7b5-IVm7-IIIm7,Ab7-Gm7b5-F#m7-Fm7,Drop 2+4,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/C#:Db.mid
C,V7-#IVm7b5-IVm7-IIIm7,G7-F#m7b5-Fm7-Em7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/C:B#.mid
Eb,V7-#IVm7b5-IVm7-IIIm7,Bb7-Am7b5-Abm7-Gm7,Drop 2+4,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/D#:Eb.mid
D,V7-#IVm7b5-IVm7-IIIm7,A7-Abm7b5-Gm7-F#m7,Drop 2+4,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/D.mid
E,V7-#IVm7b5-IVm7-IIIm7,B7-Bbm7b5-Am7-Abm7,Drop 2+4,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/E:Fb.mid
F#,V7-#IVm7b5-IVm7-IIIm7,Db7-Cm7b5-Bm7-Bbm7,Drop 2+4,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/F#:Gb.mid
F,V7-#IVm7b5-IVm7-IIIm7,C7-Bm7b5-Bbm7-Am7,Drop 2+4,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/F:E#.mid
Ab,V7-#IVm7b5-IVm7-IIIm7,Eb7-Dm7b5-Dbm7-Cm7,Drop 2+4,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/G#:Ab.mid
G,V7-#IVm7b5-IVm7-IIIm7,D7-Dbm7b5-Cm7-Bm7,Drop 2+4,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwoFour/G.mid
Bb,V7-#IVm7b5-IVm7-IIIm7,F7-Em7b5-Ebm7-Dm7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/A#:Bb.mid
A,V7-#IVm7b5-IVm7-IIIm7,E7-Ebm7b5-Dm7-Dbm7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/A.mid
B,V7-#IVm7b5-IVm7-IIIm7,F#7-Fm7b5-Em7-Ebm7,Drop 3,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/B:Cb.mid
Db,V7-#IVm7b5-IVm7-IIIm7,Ab7-Gm7b5-F#m7-Fm7,Drop 3,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/C#:Db.mid
C,V7-#IVm7b5-IVm7-IIIm7,G7-F#m7b5-Fm7-Em7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/C:B#.mid
Eb,V7-#IVm7b5-IVm7-IIIm7,Bb7-Am7b5-Abm7-Gm7,Drop 3,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/D#:Eb.mid
D,V7-#IVm7b5-IVm7-IIIm7,A7-Abm7b5-Gm7-F#m7,Drop 3,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/D.mid
E,V7-#IVm7b5-IVm7-IIIm7,B7-Bbm7b5-Am7-Abm7,Drop 3,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/E:Fb.mid
F#,V7-#IVm7b5-IVm7-IIIm7,Db7-Cm7b5-Bm7-Bbm7,Drop 3,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/F#:Gb.mid
F,V7-#IVm7b5-IVm7-IIIm7,C7-Bm7b5-Bbm7-Am7,Drop 3,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/F:E#.mid
Ab,V7-#IVm7b5-IVm7-IIIm7,Eb7-Dm7b5-Dbm7-Cm7,Drop 3,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/G#:Ab.mid
G,V7-#IVm7b5-IVm7-IIIm7,D7-Dbm7b5-Cm7-Bm7,Drop 3,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropThree/G.mid
Bb,V7-IIIm7,F7-Dm7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/A#:Bb.mid
A,V7-IIIm7,E7-Dbm7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/A.mid
B,V7-IIIm7,F#7-Ebm7,Four-Way Close,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/B:Cb.mid
Db,V7-IIIm7,Ab7-Fm7,Four-Way Close,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/C#:Db.mid
C,V7-IIIm7,G7-Em7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/C:B#.mid
Eb,V7-IIIm7,Bb7-Gm7,Four-Way Close,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/D#:Eb.mid
D,V7-IIIm7,A7-F#m7,Four-Way Close,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/D.mid
E,V7-IIIm7,B7-Abm7,Four-Way Close,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/E:Fb.mid
F#,V7-IIIm7,Db7-Bbm7,Four-Way Close,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/F#:Gb.mid
F,V7-IIIm7,C7-Am7,Four-Way Close,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/F:E#.mid
Ab,V7-IIIm7,Eb7-Cm7,Four-Way Close,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/G#:Ab.mid
G,V7-IIIm7,D7-Bm7,Four-Way Close,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/FourWayClose/G.mid
Bb,V7-IIIm7,F7-Dm7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/A#:Bb.mid
A,V7-IIIm7,E7-Dbm7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/A.mid
B,V7-IIIm7,F#7-Ebm7,Drop 2,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/B:Cb.mid
Db,V7-IIIm7,Ab7-Fm7,Drop 2,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/C#:Db.mid
C,V7-IIIm7,G7-Em7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/C:B#.mid
Eb,V7-IIIm7,Bb7-Gm7,Drop 2,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/D#:Eb.mid
D,V7-IIIm7,A7-F#m7,Drop 2,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/D.mid
E,V7-IIIm7,B7-Abm7,Drop 2,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/E:Fb.mid
F#,V7-IIIm7,Db7-Bbm7,Drop 2,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/F#:Gb.mid
F,V7-IIIm7,C7-Am7,Drop 2,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/F:E#.mid
Ab,V7-IIIm7,Eb7-Cm7,Drop 2,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/G#:Ab.mid
G,V7-IIIm7,D7-Bm7,Drop 2,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwo/G.mid
Bb,V7-IIIm7,F7-Dm7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/A#:Bb.mid
A,V7-IIIm7,E7-Dbm7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/A.mid
B,V7-IIIm7,F#7-Ebm7,Drop 2+4,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/B:Cb.mid
Db,V7-IIIm7,Ab7-Fm7,Drop 2+4,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/C#:Db.mid
C,V7-IIIm7,G7-Em7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/C:B#.mid
Eb,V7-IIIm7,Bb7-Gm7,Drop 2+4,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/D#:Eb.mid
D,V7-IIIm7,A7-F#m7,Drop 2+4,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/D.mid
E,V7-IIIm7,B7-Abm7,Drop 2+4,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/E:Fb.mid
F#,V7-IIIm7,Db7-Bbm7,Drop 2+4,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/F#:Gb.mid
F,V7-IIIm7,C7-Am7,Drop 2+4,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/F:E#.mid
Ab,V7-IIIm7,Eb7-Cm7,Drop 2+4,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/G#:Ab.mid
G,V7-IIIm7,D7-Bm7,Drop 2+4,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropTwoFour/G.mid
Bb,V7-IIIm7,F7-Dm7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/A#:Bb.mid
A,V7-IIIm7,E7-Dbm7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/A.mid
B,V7-IIIm7,F#7-Ebm7,Drop 3,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/B:Cb.mid
Db,V7-IIIm7,Ab7-Fm7,Drop 3,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/C#:Db.mid
C,V7-IIIm7,G7-Em7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/C:B#.mid
Eb,V7-IIIm7,Bb7-Gm7,Drop 3,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/D#:Eb.mid
D,V7-IIIm7,A7-F#m7,Drop 3,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/D.mid
E,V7-IIIm7,B7-Abm7,Drop 3,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/E:Fb.mid
F#,V7-IIIm7,Db7-Bbm7,Drop 3,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/F#:Gb.mid
F,V7-IIIm7,C7-Am7,Drop 3,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/F:E#.mid
Ab,V7-IIIm7,Eb7-Cm7,Drop 3,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/G#:Ab.mid
G,V7-IIIm7,D7-Bm7,Drop 3,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - IIIm7/DropThree/G.mid
Bb,V7-VIm7,F7-Gm7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/A#:Bb.mid
A,V7-VIm7,E7-F#m7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/A.mid
B,V7-VIm7,F#7-Abm7,Four-Way Close,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/B:Cb.mid
Db,V7-VIm7,Ab7-Bbm7,Four-Way Close,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/C#:Db.mid
C,V7-VIm7,G7-Am7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/C:B#.mid
Eb,V7-VIm7,Bb7-Cm7,Four-Way Close,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/D#:Eb.mid
D,V7-VIm7,A7-Bm7,Four-Way Close,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/D.mid
E,V7-VIm7,B7-Dbm7,Four-Way Close,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/E:Fb.mid
F#,V7-VIm7,Db7-Ebm7,Four-Way Close,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/F#:Gb.mid
F,V7-VIm7,C7-Dm7,Four-Way Close,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/F:E#.mid
Ab,V7-VIm7,Eb7-Fm7,Four-Way Close,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/G#:Ab.mid
G,V7-VIm7,D7-Em7,Four-Way Close,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/FourWayClose/G.mid
Bb,V7-VIm7,F7-Gm7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/A#:Bb.mid
A,V7-VIm7,E7-F#m7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/A.mid
B,V7-VIm7,F#7-Abm7,Drop 2,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/B:Cb.mid
Db,V7-VIm7,Ab7-Bbm7,Drop 2,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/C#:Db.mid
C,V7-VIm7,G7-Am7,Drop 2,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/C:B#.mid
Eb,V7-VIm7,Bb7-Cm7,Drop 2,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/D#:Eb.mid
D,V7-VIm7,A7-Bm7,Drop 2,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/D.mid
E,V7-VIm7,B7-Dbm7,Drop 2,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/E:Fb.mid
F#,V7-VIm7,Db7-Ebm7,Drop 2,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/F#:Gb.mid
F,V7-VIm7,C7-Dm7,Drop 2,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/F:E#.mid
Ab,V7-VIm7,Eb7-Fm7,Drop 2,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/G#:Ab.mid
G,V7-VIm7,D7-Em7,Drop 2,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwo/G.mid
Bb,V7-VIm7,F7-Gm7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/A#:Bb.mid
A,V7-VIm7,E7-F#m7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/A.mid
B,V7-VIm7,F#7-Abm7,Drop 2+4,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/B:Cb.mid
Db,V7-VIm7,Ab7-Bbm7,Drop 2+4,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/C#:Db.mid
C,V7-VIm7,G7-Am7,Drop 2+4,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/C:B#.mid
Eb,V7-VIm7,Bb7-Cm7,Drop 2+4,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/D#:Eb.mid
D,V7-VIm7,A7-Bm7,Drop 2+4,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/D.mid
E,V7-VIm7,B7-Dbm7,Drop 2+4,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/E:Fb.mid
F#,V7-VIm7,Db7-Ebm7,Drop 2+4,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/F#:Gb.mid
F,V7-VIm7,C7-Dm7,Drop 2+4,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/F:E#.mid
Ab,V7-VIm7,Eb7-Fm7,Drop 2+4,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/G#:Ab.mid
G,V7-VIm7,D7-Em7,Drop 2+4,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropTwoFour/G.mid
Bb,V7-VIm7,F7-Gm7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/A#:Bb.mid
A,V7-VIm7,E7-F#m7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/A.mid
B,V7-VIm7,F#7-Abm7,Drop 3,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/B:Cb.mid
Db,V7-VIm7,Ab7-Bbm7,Drop 3,Depressive,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/C#:Db.mid
C,V7-VIm7,G7-Am7,Drop 3,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/C:B#.mid
Eb,V7-VIm7,Bb7-Cm7,Drop 3,Love,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/D#:Eb.mid
D,V7-VIm7,A7-Bm7,Drop 3,Delicate,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/D.mid
E,V7-VIm7,B7-Dbm7,Drop 3,Vital,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/E:Fb.mid
F#,V7-VIm7,Db7-Ebm7,Drop 3,Victorious,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/F#:Gb.mid
F,V7-VIm7,C7-Dm7,Drop 3,soft,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/F:E#.mid
Ab,V7-VIm7,Eb7-Fm7,Drop 3,Epic,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/G#:Ab.mid
G,V7-VIm7,D7-Em7,Drop 3,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - VIm7/DropThree/G.mid
Bb,V7-bIIImaj7,F7-Dbmaj7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/A#:Bb.mid
A,V7-bIIImaj7,E7-Cmaj7,Four-Way Close,Joyful,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/A.mid
B,V7-bIIImaj7,F#7-Dmaj7,Four-Way Close,Fantasy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - bIIImaj7/FourWayClose/B:Cb.mid
